iter	Passed	Remaining
198	1172	4717
199	1177	4708
200	1182	4701
201	1188	4695
202	1193	4686
203	1200	4683
204	1207	4682
205	1213	4678
206	1220	4676
207	1226	4668
208	1231	4661
209	1236	4652
210	1242	4646
211	1251	4652
212	1257	4645
213	1262	4637
214	1268	4630
215	1273	4623
216	1279	4618
217	1285	4612
218	1290	4603
219	1298	4604
220	1303	4595
221	1309	4589
222	1316	4585
223	1323	4585
224	1330	4584
225	1336	4577
226	1341	4568
227	1348	4564
228	1353	4555
229	1358	4549
230	1365	4545
231	1370	4537
232	1376	4530
233	1381	4522
234	1387	4515
235	1393	4510
236	1399	4504
237	1404	4497
238	1411	4495
239	1418	4493
240	1424	4487
241	1430	4479
242	1435	4471
243	1442	4470
244	1447	4461
245	1452	4453
246	1459	4450
247	1464	4441
248	1470	4433
249	1476	4430
250	1481	4422
251	1487	4414
252	1493	4410
253	1499	4402
254	1506	4400
255	1511	4391
256	1517	4386
257	1524	4383
258	1530	4379
259	1537	4376
260	1542	4368
261	1547	4359
262	1554	4356
263	1559	4348
264	1565	4342
265	1572	4338
266	1577	4331
267	1583	4323
268	1588	4317
269	1593	4308
270	1599	4302
271	1607	4302
272	1613	4297
273	1621	4295
274	1627	4291
275	1634	4286
276	1638	4277
277	1644	4270
278	1650	4265
279	1655	4256
280	1661	4250
281	1668	4248
282	1673	4239
283	1678	4232
284	1685	4227
285	1690	4219
286	1695	4211
287	1701	4206
288	1706	4199
289	1712	4191
290	1718	4186
291	1723	4177
292	1728	4171
293	1735	4167
294	1742	4163
295	1748	4158
296	1754	4152
297	1760	4146
298	1765	4140
299	1771	4133
300	1778	4129
301	1783	4122
302	1788	4114
303	1795	4110
304	1800	4103
305	1806	4096
306	1812	4092
307	1818	4086
308	1824	4079
309	1830	4074
310	1836	4069
311	1843	4064
312	1848	4056
313	1854	4051
314	1862	4049
315	1867	4042
316	1873	4036
317	1878	4028
318	1883	4021
319	1891	4018
320	1896	4012
321	1901	4004
322	1908	3999
323	1913	3991
324	1919	3986
325	1925	3980
326	1930	3973
327	1936	3967
328	1942	3961
329	1948	3956
330	1955	3953
331	1960	3945
332	1965	3937
333	1972	3932
334	1977	3926
335	1982	3918
336	1989	3914
337	1995	3908
338	2001	3902
339	2006	3895
340	2012	3888
341	2018	3883
342	2023	3875
343	2028	3868
344	2034	3863
345	2040	3857
346	2046	3850
347	2052	3846
348	2057	3838
349	2064	3833
350	2070	3828
351	2075	3821
352	2082	3816
353	2087	3810
354	2093	3803
355	2099	3798
356	2105	3791
357	2110	3784
358	2117	3780
359	2122	3773
360	2128	3766
361	2133	3760
362	2138	3753
363	2144	3747
364	2151	3742
365	2157	3736
366	2163	3732
367	2168	3724
368	2174	3717
369	2181	3714
370	2186	3707
371	2192	3701
372	2197	3694
373	2203	3687
374	2209	3681
375	2214	3674
376	2219	3667
377	2226	3663
378	2231	3656
379	2237	3649
380	2243	3644
381	2249	3639
382	2255	3633
383	2261	3627
384	2266	3621
385	2272	3614
386	2278	3608
387	2283	3602
388	2289	3596
389	2294	3589
390	2300	3582
391	2306	3577
392	2311	3570
393	2317	3564
394	2324	3560
395	2329	3553
396	2334	3546
397	2341	3541
398	2347	3536
399	2353	3529
400	2358	3523
401	2363	3516
402	2371	3512
403	2377	3506
404	2382	3499
405	2388	3494
406	2393	3487
407	2398	3480
408	2404	3474
409	2409	3468
410	2415	3461
411	2421	3455
412	2426	3448
413	2432	3442
414	2439	3438
415	2445	3433
416	2451	3427
417	2457	3422
418	2463	3415
419	2469	3409
420	2474	3403
421	2480	3397
422	2486	3391
423	2491	3384
424	2497	3379
425	2502	3372
426	2508	3366
427	2514	3360
428	2519	3353
429	2524	3346
430	2531	3342
431	2536	3335
432	2542	3328
433	2551	3327
434	2558	3322
435	2564	3317
436	2569	3310
437	2575	3304
438	2583	3301
439	2588	3294
440	2594	3289
441	2600	3282
442	2606	3276
443	2613	3272
444	2618	3265
445	2623	3258
446	2629	3253
447	2635	3247
448	2642	3242
449	2648	3236
450	2653	3230
451	2659	3224
452	2665	3219
453	2671	3212
454	2676	3206
455	2682	3200
456	2688	3194
457	2693	3188
458	2699	3181
459	2704	3175
460	2710	3168
461	2715	3162
462	2721	3156
463	2726	3150
464	2731	3143
465	2738	3138
466	2744	3132
467	2749	3125
468	2756	3120
469	2762	3115
470	2767	3108
471	2774	3103
472	2779	3097
473	2785	3091
474	2790	3084
475	2796	3078
476	2802	3072
477	2807	3065
478	2812	3059
479	2818	3053
480	2824	3047
481	2829	3041
482	2837	3037
483	2844	3032
484	2850	3026
485	2856	3021
486	2862	3014
487	2868	3009
488	2874	3003
489	2879	2996
490	2885	2991
491	2891	2985
492	2896	2979
493	2902	2973
494	2907	2966
495	2912	2959
496	2918	2953
497	2923	2947
498	2929	2941
499	2935	2935
500	2940	2928
501	2946	2923
502	2951	2916
503	2956	2909
504	2963	2904
505	2969	2899
506	2974	2892
507	2981	2887
508	2986	2881
509	2991	2874
510	2997	2868
511	3002	2862
512	3008	2856
513	3014	2849
514	3019	2843
515	3024	2837
516	3029	2830
517	3034	2823
518	3040	2817
519	3045	2811
520	3051	2805
521	3056	2798
522	3062	2793
523	3068	2787
524	3074	2781
525	3079	2775
526	3084	2768
527	3091	2763
528	3097	2758
529	3103	2752
530	3109	2746
531	3114	2739
532	3119	2733
533	3125	2727
534	3130	2720
535	3136	2715
536	3141	2708
537	3147	2703
538	3153	2697
539	3158	2690
540	3164	2684
541	3171	2679
542	3177	2674
543	3183	2668
544	3189	2662
545	3194	2656
546	3200	2650
547	3205	2644
548	3211	2638
549	3217	2632
550	3224	2627
551	3230	2621
552	3236	2616
553	3241	2609
554	3247	2604
555	3253	2598
556	3258	2591
557	3264	2585
558	3270	2580
559	3277	2575
560	3283	2569
561	3289	2563
562	3294	2557
563	3300	2551
564	3305	2545
565	3311	2538
566	3317	2533
567	3322	2526
568	3328	2521
569	3334	2515
570	3339	2508
571	3344	2502
572	3349	2496
573	3354	2489
574	3361	2484
575	3366	2477
576	3371	2471
577	3376	2465
578	3382	2459
579	3389	2454
580	3395	2449
581	3400	2442
582	3406	2436
583	3413	2431
584	3418	2424
585	3423	2418
586	3429	2412
587	3434	2406
588	3439	2399
589	3445	2394
590	3450	2387
591	3455	2381
592	3460	2375
593	3465	2368
594	3470	2362
595	3482	2360
596	3488	2354
597	3493	2348
598	3498	2342
599	3504	2336
600	3509	2329
601	3514	2323
602	3519	2317
603	3525	2311
604	3530	2305
605	3535	2298
606	3542	2293
607	3547	2286
608	3552	2280
609	3557	2274
610	3562	2268
611	3568	2262
612	3573	2256
613	3579	2250
614	3584	2244
615	3590	2238
616	3599	2234
617	3605	2228
618	3610	2222
619	3616	2216
620	3622	2210
621	3627	2204
622	3633	2198
623	3638	2192
624	3643	2186
625	3651	2181
626	3657	2176
627	3663	2170
628	3669	2164
629	3675	2158
630	3681	2152
631	3687	2147
632	3692	2141
633	3699	2135
634	3704	2129
635	3711	2123
636	3718	2118
637	3723	2112
638	3729	2106
639	3734	2100
640	3739	2094
641	3746	2089
642	3751	2083
643	3757	2077
644	3766	2072
645	3771	2066
646	3776	2060
647	3783	2055
648	3788	2048
649	3794	2043
650	3800	2037
651	3806	2031
652	3812	2025
653	3818	2019
654	3823	2013
655	3829	2008
656	3834	2002
657	3840	1995
658	3845	1990
659	3851	1983
660	3856	1977
661	3873	1977
662	3884	1974
663	3891	1969
664	3897	1963
665	3904	1957
666	3909	1951
667	3914	1945
668	3921	1940
669	3926	1933
670	3930	1927
671	3936	1921
672	3941	1915
673	3946	1909
674	3952	1903
675	3957	1896
676	3962	1890
677	3969	1885
678	3974	1879
679	3979	1872
680	3985	1866
681	3990	1860
682	3996	1854
683	4002	1849
684	4008	1843
685	4012	1836
686	4019	1831
687	4023	1824
688	4028	1818
689	4036	1813
690	4043	1807
691	4049	1802
692	4054	1795
693	4059	1789
694	4066	1784
695	4071	1778
696	4076	1772
697	4082	1766
698	4088	1760
699	4094	1754
700	4100	1749
701	4105	1742
702	4111	1736
703	4117	1731
704	4121	1724
705	4127	1718
706	4132	1712
707	4137	1706
708	4142	1700
709	4147	1694
710	4153	1688
711	4158	1682
712	4163	1676
713	4168	1669
714	4173	1663
715	4181	1658
716	4186	1652
717	4192	1646
718	4198	1640
719	4203	1634
720	4210	1629
721	4215	1623
722	4220	1617
723	4227	1611
724	4232	1605
725	4237	1599
726	4243	1593
727	4248	1587
728	4254	1581
729	4260	1575
730	4265	1569
731	4270	1563
732	4276	1557
733	4281	1551
734	4288	1546
735	4294	1540
736	4299	1534
737	4306	1528
738	4311	1522
739	4316	1516
740	4323	1511
741	4328	1505
742	4333	1498
743	4339	1493
744	4344	1487
745	4351	1481
746	4357	1475
747	4363	1470
748	4371	1464
749	4376	1458
750	4381	1452
751	4388	1447
752	4394	1441
753	4402	1436
754	4407	1430
755	4412	1424
756	4419	1418
757	4425	1412
758	4431	1407
759	4438	1401
760	4444	1395
761	4451	1390
762	4456	1384
763	4461	1378
764	4468	1372
765	4473	1366
766	4479	1360
767	4486	1355
768	4492	1349
769	4498	1343
770	4504	1337
771	4509	1331
772	4516	1326
773	4521	1320
774	4528	1314
775	4533	1308
776	4539	1302
777	4545	1297
778	4550	1291
779	4555	1284
780	4562	1279
781	4567	1273
782	4572	1267
783	4580	1262
784	4585	1256
785	4592	1250
786	4599	1244
787	4605	1239
788	4612	1233
789	4617	1227
790	4622	1221
791	4629	1215
792	4634	1209
793	4639	1203
794	4645	1197
795	4650	1191
796	4655	1185
797	4662	1180
798	4667	1174
799	4673	1168
800	4678	1162
801	4684	1156
802	4690	1150
803	4695	1144
804	4700	1138
805	4706	1132
806	4712	1127
807	4717	1121
808	4724	1115
809	4729	1109
810	4735	1103
811	4741	1097
812	4746	1091
813	4752	1086
814	4758	1080
815	4763	1074
816	4770	1068
817	4775	1062
818	4781	1056
819	4788	1051
820	4793	1045
821	4799	1039
822	4805	1033
823	4811	1027
824	4817	1021
825	4823	1016
826	4828	1010
827	4835	1004
828	4842	998
829	4849	993
830	4854	987
831	4860	981
832	4866	975
833	4871	969
834	4876	963
835	4883	958
836	4888	952
837	4894	946
838	4900	940
839	4906	934
840	4912	928
841	4918	923
842	4924	917
843	4932	911
844	4937	905
845	4942	899
846	4950	894
847	4956	888
848	4962	882
849	4967	876
850	4972	870
851	4980	865
852	4985	859
853	4990	853
854	4996	847
855	5001	841
856	5006	835
857	5012	829
858	5017	823
859	5022	817
860	5029	812
861	5035	806
862	5042	800
863	5047	794
864	5052	788
865	5059	782
866	5064	776
867	5069	770
868	5075	765
869	5080	759
870	5086	753
871	5093	747
872	5098	741
873	5103	735
874	5109	729
875	5114	723
876	5119	718
877	5126	712
878	5133	706
879	5140	701
880	5146	695
881	5151	689
882	5160	683
883	5166	677
884	5173	672
885	5178	666
886	5184	660
887	5190	654
888	5195	648
889	5201	642
890	5207	637
891	5213	631
892	5219	625
893	5226	619
894	5234	614
895	5240	608
896	5245	602
897	5253	596
898	5258	590
899	5263	584
900	5269	579
901	5274	573
902	5281	567
903	5286	561
904	5291	555
905	5298	549
906	5303	543
907	5309	537
908	5316	532
909	5321	526
910	5327	520
911	5334	514
912	5340	508
913	5347	503
914	5352	497
915	5358	491
916	5365	485
917	5370	479
918	5376	473
919	5382	468
920	5388	462
921	5394	456
922	5400	450
923	5404	444
924	5411	438
925	5417	432
926	5422	427
927	5429	421
928	5436	415
929	5444	409
930	5450	403
931	5455	398
932	5462	392
933	5467	386
934	5473	380
935	5478	374
936	5484	368
937	5490	362
938	5495	357
939	5500	351
940	5508	345
941	5514	339
942	5519	333
943	5527	327
944	5533	322
945	5540	316
946	5546	310
947	5551	304
948	5558	298
949	5564	292
950	5571	287
951	5576	281
952	5582	275
953	5589	269
954	5594	263
955	5599	257
956	5606	251
957	5611	246
958	5617	240
959	5624	234
960	5629	228
961	5635	222
962	5642	216
963	5649	210
964	5654	205
965	5659	199
966	5665	193
967	5671	187
968	5677	181
969	5683	175
970	5689	169
971	5694	164
972	5701	158
973	5706	152
974	5711	146
975	5718	140
976	5723	134
977	5731	128
978	5737	123
979	5743	117
980	5749	111
981	5755	105
982	5760	99
983	5766	93
984	5772	87
985	5779	82
986	5784	76
987	5790	70
988	5798	64
989	5803	58
990	5809	52
991	5814	46
992	5819	41
993	5826	35
994	5831	29
995	5837	23
996	5843	17
997	5849	11
998	5854	5
999	5861	0
